                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0279,                 12.826,                 1.7313,                 0.0032,                0.97917,                0.07029,                0.04018,                 1.0495,                 7.3171,                 1.1774,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.0384,                 7.1276,                 1.1358,                0.00327,                      1,                0.38732,                0.27328,                0.77554,                 6.3574,                0.96487,             0.00013446,             0.00013446,             0.00013446
                      3,                0.73349,                 5.1475,                0.99333,                0.00327,                      1,                0.93063,                0.68449,                0.85101,                 6.2728,                0.97974,             0.00020258,             0.00020258,             0.00020258
                      4,                0.91331,                 4.5438,                 1.0035,                0.00327,                      1,                0.96276,                0.80182,                0.68199,                 6.1608,                0.90883,             0.00026436,             0.00026436,             0.00026436
                      5,                 1.0174,                 4.4089,                0.96196,                0.00327,                      1,                 0.9934,                0.76982,                0.73659,                 6.1353,                0.88569,             0.00031981,             0.00031981,             0.00031981
                      6,                0.84781,                 3.3235,                0.94848,                0.00327,                      1,                 0.9942,                0.78787,                0.70593,                 6.0382,                0.87687,             0.00036892,             0.00036892,             0.00036892
                      7,                 1.0177,                 4.0578,                 1.0357,                0.00327,                      1,                  0.995,                0.82458,                0.64832,                 6.0289,                0.86191,              0.0004117,              0.0004117,              0.0004117
                      8,                  0.862,                 3.5796,                0.94523,                0.98184,                0.95833,                0.99265,                0.83424,                0.65353,                  6.257,                0.86035,             0.00044814,             0.00044814,             0.00044814
                      9,                0.80309,                 4.0703,                0.98257,                      1,                0.51764,                0.97537,                0.83072,                0.65898,                 6.4108,                0.88257,             0.00047824,             0.00047824,             0.00047824
                     10,                0.72649,                  3.549,                0.99044,                      1,                 0.1839,                0.99071,                0.82572,                0.66681,                 6.2494,                 0.8942,             0.00050201,             0.00050201,             0.00050201
                     11,                0.81898,                 3.6377,                0.90182,                      1,                0.49829,                0.98971,                0.75629,                 0.7761,                 6.1661,                 0.8857,             0.00051944,             0.00051944,             0.00051944
                     12,                   1.12,                 3.5416,                 1.0701,                      1,                0.84825,                0.99382,                0.81407,                0.69813,                 6.1199,                 0.8866,             0.00053054,             0.00053054,             0.00053054
                     13,                0.75751,                 3.5374,                0.98856,                      1,                0.98142,                  0.995,                0.82148,                0.69157,                 5.7717,                0.85536,              0.0005353,              0.0005353,              0.0005353
                     14,                0.76693,                  3.485,                0.89746,                0.98553,                0.97917,                0.99459,                0.81023,                0.72698,                 5.5986,                0.86415,             0.00053372,             0.00053372,             0.00053372
                     15,                0.78957,                 3.1984,                0.92456,                 0.9888,                      1,                  0.995,                0.77737,                 0.8881,                 5.2621,                0.93355,             0.00052581,             0.00052581,             0.00052581
                     16,                0.81303,                 4.9578,                0.95826,                0.99043,                      1,                  0.995,                0.78603,                0.85404,                 5.3388,                0.91472,             0.00051156,             0.00051156,             0.00051156
                     17,                0.73611,                 5.5035,                 1.0356,                0.98601,                      1,                  0.995,                0.78613,                0.84658,                 5.3974,                0.91603,             0.00049098,             0.00049098,             0.00049098
                     18,                0.55589,                 9.8159,                0.72079,                0.99021,                      1,                  0.995,                 0.8109,                0.72119,                 5.0344,                0.87538,             0.00046406,             0.00046406,             0.00046406
                     19,                0.83011,                 4.9985,                0.97833,                0.99967,                      1,                  0.995,                 0.8491,                0.64249,                 4.8668,                0.86085,              0.0004308,              0.0004308,              0.0004308
                     20,                0.60854,                 4.4935,                0.88082,                      1,                0.99213,                  0.995,                0.84797,                0.62378,                 4.7731,                0.85437,             0.00039121,             0.00039121,             0.00039121
                     21,                0.53454,                 9.1638,                0.67809,                0.99255,                      1,                  0.995,                0.82122,                0.72352,                 4.5906,                0.86832,             0.00034528,             0.00034528,             0.00034528
                     22,                0.51146,                 8.8196,                0.69931,                0.99594,                      1,                  0.995,                0.82137,                0.69733,                  4.351,                0.86373,             0.00029302,             0.00029302,             0.00029302
                     23,                0.70595,                 4.4422,                0.87605,                0.99735,                      1,                  0.995,                0.83685,                0.66158,                 4.0132,                 0.8591,             0.00023442,             0.00023442,             0.00023442
                     24,                0.47975,                 8.6743,                0.73353,                0.99786,                      1,                  0.995,                0.84271,                0.63075,                 3.6746,                0.85233,             0.00016948,             0.00016948,             0.00016948
                     25,                0.52235,                 9.3246,                0.64911,                0.99849,                      1,                  0.995,                0.85036,                0.61697,                  3.519,                0.85032,             9.8208e-05,             9.8208e-05,             9.8208e-05
